,Food Id,Name,URL
2,71131c53-ec60-4b21-aa11-8d5015f49496,bread,"['https://www.ovenfreshdelivery.com/', 'https://www.ovenfreshdelivery.com/collections', 'https://www.ovenfreshdelivery.com/pages/how-it-works', 'https://www.ovenfreshdelivery.com/pages/our-family', 'https://www.ovenfreshdelivery.com/pages/reviews', 'https://www.amazon.com/organic-bread/s?k=organic+bread', 'https://stonehousebread.com/', 'https://www.target.com/c/breads-bakery-bread-grocery/organic/-/N-5xt18Zs2ozl', 'https://www.avonbakerydeli.com/organic-breads', 'https://www.breadalone.com/']"
142,00273dd8-a04e-4337-903e-05b7553bf84f,yogurt,"['https://www.freshdirect.com/browse.jsp?id=dai_organic_yogurt', 'https://www.amazon.com/organic-yogurt/s?k=organic+yogurt', 'https://www.target.com/s/organic+whole+milk+yogurt', 'https://www.stonyfield.com/', 'https://www.stonyfield.com/products/yogurt', 'https://www.stonyfield.com/products/baby-kids', 'https://www.stonyfield.com/products/store-locator', 'https://www.stonyfield.com/kids', 'https://giantfood.com/groceries/dairy/yogurt/traditional-yogurt/natures-promise-organic-yogurt-whole-milk-plain.html', 'https://farmhousedelivery.com/yogurt']"
179,b8eb1b4b-7a31-4de2-b004-771f6a22c1f5,soft drink,"['https://www.amazon.com/Soda-Soft-Drinks-Organic/s?keywords=Soda+Soft+Drinks&rh=n%3A16318231%2Cp_n_feature_nine_browse-bin%3A114320011&c=ts&ts_id=16318231', 'https://organicsodapops.com/', 'https://organicsodapops.com/collections/all', 'https://organicsodapops.com/collections/new-products', 'https://organicsodapops.com/collections/fountain-soda-machines', 'https://organicsodapops.com/pages/business-membership', 'https://organicsodapops.com/collections/organic-soda-pops', 'https://www.britsuperstore.com/usa/browse-by-section/soft-drinks.html', 'https://drinktractor.com/', 'https://www.zevia.com/']"
233,13a3d0d6-7f52-45d4-850a-352f0428e524,apples,"['https://www.froghollow.com/products/organic-apples', 'https://giantfoodstores.com/groceries/produce/fresh-fruit/apples/fuji-apples/natures-promise-organic-apples-fuji-3-lb-bag.html', 'https://www.amazon.com/organic-apple/s?k=organic+apple', 'https://www.freshdirect.com/browse.jsp?id=orgnat_fruit_apl', 'https://www.freshdirect.com/pdp.jsp?productId=fru_pid_2210085&catId=apl_bag', 'https://www.melissas.com/products/organic-apples', 'https://chelanbeauty.com/products/organic-gala-apples', 'https://www.thefruitcompany.com/organic-apple-medley-gift-box', 'https://www.goldbelly.com/mikes-organic/mixed-organic-apples', 'https://www.instacart.com/products/1138237-produce-organic-apples-misc-1-lb-each']"
237,5dd15f98-123b-4143-b57d-98fb73d5a147,bananas,"['https://www.melissas.com/products/organic-bananas', 'https://www.amazon.com/Fresh-Organic-Bananas-Approximately-Bunch/dp/B00ZVIWWB6', 'https://www.amazon.com/organic-bananas/s?k=organic+bananas', 'https://www.orgpick.com/products/organic-banana', 'https://www.walmart.com/ip/Marketside-Organic-Bananas-Bunch/51259338', 'https://www.instacart.com/products/17676932-organic-bananas-3-lbs', 'https://shop.bristolfarms.com/dept/bananas', 'https://stopandshop.com/groceries/produce/fresh-fruit/bananas/yellow-bananas/bananas-organic-4-7-ct-1-bunch.html', 'https://www.target.com/p/organic-bananas-2lb/-/A-85759852', 'https://www.staples.com/national-brand-fresh-organic-bananas-2-bushels-6-lb-900-00107/product_24336981']"
278,766f6782-68ac-430f-8bc9-0a08e7662fda,mango,"['https://www.melissas.com/products/organic-mango', 'https://www.froghollow.com/products/organic-mangoes', 'https://www.instacart.com/products/16617047-organic-mango-each', 'https://www.amazon.com/Organic-Mangoes/s?k=Organic+Mangoes', 'https://www.orgpick.com/collections/mangoes', 'https://mangomaven.com/buy-mangoes-online/', 'https://www.salemmango.com/', 'https://gopal.farm/products/south-florida-organic-mangoes', 'https://www.tootyfruitybasketandbox.com/collections/organic-mango', 'https://www.naturalmangoes.com/']"
282,3a94218a-565d-494b-941a-dcc0cc09177f,oranges,"['https://www.amazon.com/Organic-Navel-Oranges-15-Pounds/dp/B07B7CR562', 'https://www.melissas.com/products/organic-navel-oranges', 'https://www.froghollow.com/products/organic-navel-oranges', 'https://www.davidorganic.com/', 'https://www.walmart.com/ip/Marketside-Organic-Oranges-4-lb-Bag/147204902', 'https://www.instacart.com/products/2900626-organic-navel-oranges-each', 'https://rainbowvalleyorchards.com/oranges/', 'https://sequoiarootsfarm.com/online-store/navel-oranges-large', 'https://www.orgpick.com/products/organic-orange-1', 'https://www.instacart.ca/categories/316-food/317-fresh-produce/318-fresh-fruit/2191-citrus/408-oranges?nutrition=organic']"
364,8496153b-5b1f-4b3a-9a92-acba578fd88b,mixed nuts,"['https://nuts.com/nuts/mixednuts/organic-raw.html', 'https://www.amazon.com/Organic-Mixed-Raw-Nuts-Pound/dp/B01H14X928', 'https://www.amazon.com/Mixed-Nuts-Organic-Cooking-Baking-Seeds/s?keywords=Mixed+Nuts&rh=n%3A16322931%2Cp_n_feature_nine_browse-bin%3A114320011&c=ts&ts_id=16322931', 'https://www.tierrafarm.com/products/organic-unsalted-mixed-nuts', 'https://stopandshop.com/groceries/produce/dried-fruit-nuts-trail-mix/fresh-nuts-seeds/natures-promise-organic-mixed-nuts-roasted-unsalted-9-oz-tub.html', 'https://www.target.com/p/organic-raw-mixed-nuts-8oz-good-38-gather-8482/-/A-81471840', 'https://www.walmart.com/ip/Organic-Mixed-Raw-Nuts-0-5-Pounds-Non-GMO-Kosher-Raw-Vegan-by-Food-to-Live/141948765', 'https://giantfood.com/groceries/produce/dried-fruit-nuts-trail-mix/fresh-nuts-seeds/natures-promise-organic-mixed-nuts-roasted-unsalted-9-oz-tub.html', 'https://giantfood.com/groceries/produce/dried-fruits-nuts/fresh-nuts-seeds/fresh-mixed-nuts/natures-promise-organic-mixed-nuts-unsalted-9-oz-tub.html', 'https://giantfoodstores.com/groceries/produce/dried-fruits-nuts/fresh-nuts-seeds/fresh-mixed-nuts/natures-promise-organic-mixed-nuts-roasted-unsalted-9-oz-tub.html']"
443,1e691887-a1b9-4686-89da-f68f9bd21927,broccoli,"['https://www.freshdirect.com/pdp.jsp?productId=veg_pid_2301876&catId=broc', 'https://shop.bristolfarms.com/view/6088', 'https://shop.bristolfarms.com/dept/broccoli', 'https://www.walmart.com/ip/Organic-Broccoli-Bunch/414982565', 'https://www.instacart.com/products/16345572-organic-broccoli-each', 'https://www.instacart.com/categories/316-food/317-fresh-produce/439-fresh-vegetables/454-broccoli?nutrition=organic', 'https://www.hy-vee.com/grocery/PD3885169/Organic-Broccoli', 'https://stopandshop.com/groceries/produce/fresh-vegetables/broccoli-cauliflower/broccoli/natures-promise-organic-broccoli-florets-10-oz-bag.html', 'https://stopandshop.com/groceries/produce/packaged-fruit-vegetables/packaged-vegetables/packaged-broccoli/natures-promise-organic-broccoli-florets-trimmed-washed-10-oz-bag.html', 'https://giantfoodstores.com/groceries/produce/packaged-fruit-vegetables/packaged-vegetables/packaged-broccoli/natures-promise-organic-broccoli-florets-trimmed-washed-10-oz-bag.html']"
451,674f7518-1b90-4223-a662-b94027c0cff5,carrot,"['https://www.melissas.com/products/organic-carrots', 'https://www.amazon.com/organic-carrot/s?k=organic+carrot', 'https://www.amazon.com/Fresh-Organic-Carrots-5-Lb/dp/B00ZPTSZQ2', 'https://www.instacart.com/categories/316-food/317-fresh-produce/439-fresh-vegetables/458-carrots?nutrition=organic', 'https://stopandshop.com/groceries/produce/fresh-vegetables/carrots-celery/fresh-carrots/natures-promise-organic-carrots-5-lb-bag.html', 'https://giantfoodstores.com/groceries/produce/fresh-vegetables/carrots-celery/fresh-carrots/natures-promise-organic-carrots-5-lb-bag.html', 'https://thehealthybutcher.com/organic-carrots-2-lb.-bag.html', 'https://www.bolthouse.com/product/100-organic-carrot/', 'https://www.wholefoodsmarket.com/product/produce-organic-carrots-b07813yjl1', 'https://shop.bristolfarms.com/dept/carrots']"
