id,name,category,serving_weight,serving_desc,emissions_per_serving,emissions_category_letter,emissions_category_description,carbon_label_url,preservation_methods,food_image_url,expiration_day
4340d1ab-5215-4767-b98a-cda73f529372,bagel,Bakery,85,1 bagel,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
e56cfadb-88ea-4ff3-92fb-abd27b51fe22,baguette,Bakery,220,one medium baguette,1.30088,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
71131c53-ec60-4b21-aa11-8d5015f49496,bread,Bakery,80,two medium slices,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,freeze and toast,"https://assets.bonappetit.com/photos/5c62e4a3e81bbf522a9579ce/5:4/w_2815,h_2252,c_limit/milk-bread.jpg",6
32af413c-6c44-4f4d-9c76-594d7271975a,bread crumbs,Bakery,112,one cup,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
1220a81a-f6cb-438b-a8a6-dfa12aeb311d,bread roll,Bakery,60,one medium roll,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
28b7afac-63df-4327-b969-e60a90a01246,brown bread,Bakery,80,two medium slices,1.1016,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
f30a3b8d-1cca-46c8-98f2-7262b5cfd902,brown bread roll,Bakery,60,one medium roll,1.20951,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
7bb5870e-1cc3-4034-8a89-f534977bafe4,cake,Bakery,120,one piece,3.06425,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
2b1b381b-b630-4c97-abb2-949e2f39cc0e,chocolate cake,Bakery,120,one slice,3.66809,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
79272a1e-4dec-4375-8c0d-6f479143de18,crepe,Bakery,80,one crepe,0.71148,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
8a4fdd50-95ae-476b-b7d6-e84b067493de,crumpet,Bakery,50,1 crumpet,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
a0d47d34-8b53-4cd3-9031-2671f4905a34,doughnut,Bakery,75,one doughnut,6.5793,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
8f567871-5113-4052-9419-ad718657619f,fruit cake,Bakery,120,one slice,3.06425,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
28c370f1-14e5-4a27-a605-8c0223605125,muffin,Bakery,130,medium muffin,6.5793,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
86300681-06f8-4ed4-8452-d375cf8e828a,pancake,Bakery,50,medium pancake,0.71148,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
2dbc810c-f31f-4226-8634-96ef5a903476,pastry,Bakery,47,one pastry shell,6.5793,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
d8c3bae3-6f01-4451-a601-0914a301bae3,pitta bread,Bakery,60,one medium pitta,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
c7b866df-91d1-4978-be5c-ee3dd3761d1c,plain naan bread,Bakery,140,one naan,1.21499,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
3f60bc56-3b98-4b0e-ae2d-9eefbce422bb,rye bread,Bakery,80,two medium slices,1.07067,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
a1d4602d-6139-4dcd-983e-a42362154ab6,scones,Bakery,70,one scone,3.06425,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
6445e7ea-4702-4362-9107-d4951e9e1cc9,sponge cake,Bakery,120,one slice,3.06425,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
